University,Category,Email,Score,Source
University of Konstanz,International Office,international@uni-konstanz.de,11,https://www.uni-konstanz.de/international-office
University of Konstanz,Studium/Allgemein,studium@uni-konstanz.de,10,https://www.uni-konstanz.de/studium
Martin Luther University Halle-Wittenberg,Allgemeiner Kontakt,info@international.uni-halle.de,3,https://www.uni-halle.de/international
Martin Luther University Halle-Wittenberg,Allgemeiner Kontakt,info@international.uni,2,https://www.uni-halle.de/international
Ilmenau University of Technology,Studienberatung,studienberatung@tu-ilmenau.de,13,https://www.tu-ilmenau.de/studium
Ilmenau University of Technology,Allgemeiner Kontakt,info.apply@tu-ilmenau.de,12,https://www.tu-ilmenau.de/studium
Ilmenau University of Technology,International Office,internationaloffice@tu-ilmenau.de,11,https://www.tu-ilmenau.de/international
Friedrich Schiller University Jena,International Office,international@uni-jena.de,11,https://www.uni-jena.de/studium
University of Marburg,Allgemeiner Kontakt,info@uni-marburg.de,3,https://www.uni-marburg.de/impressum
University of Passau,Studienberatung,studienberatung@uni-passau.de,13,https://www.uni-passau.de/studium
University of Passau,International Office,international@uni-passau.de,11,https://www.uni-passau.de/studium
University of Passau,Studentensekretariat,studierendensekretariat@uni-passau.de,8,https://www.uni-passau.de/studium
University of Passau,International Office,auslandspraktikum@uni-passau.de,5,https://www.uni-passau.de/studium
University of Passau,Studium/Allgemein,studierendenausweis@uni-passau.de,2,https://www.uni-passau.de/studierendensekretariat
Freie Universität Berlin,Allgemeiner Kontakt,info-service@fu-berlin.de,6,https://www.fu-berlin.de/studium
Goethe University Frankfurt,Sonstiges,webmaster@uni-frankfurt.de,5,https://www.uni-frankfurt.de/impressum
Goethe University Frankfurt,Sonstiges,u003ewebmaster@uni-frankfurt.de,5,https://www.uni-frankfurt.de/impressum
University of Freiburg,Studium/Allgemein,studium@uni-freiburg.de,10,https://www.uni-freiburg.de/kontakt
University of Freiburg,Sonstiges,webmaster@uni-freiburg.de,5,https://www.uni-freiburg.de/impressum
University of Freiburg,Allgemeiner Kontakt,info@uni-freiburg.de,3,https://www.uni-freiburg.de/impressum
University of Freiburg,Allgemeiner Kontakt,info@verwaltung.uni-freiburg.de,3,https://www.uni-freiburg.de/kontakt
University of Freiburg,Allgemeiner Kontakt,info@swfr.de,3,https://www.uni-freiburg.de/kontakt
University of Freiburg,Studium/Allgemein,study@uni-freiburg.de,2,https://www.uni-freiburg.de/kontakt
Ulm University,Allgemeiner Kontakt,lptinfo@uni-ulm.de,3,https://www.uni-ulm.de/kontakt
University of Bonn,International Office,international@uni-bonn.de,11,https://www.uni-bonn.de/international-office
University of Bonn,Studium/Allgemein,intstud@verwaltung.uni-bonn.de,2,https://www.uni-bonn.de/international-office
University of Bonn,Studium/Allgemein,study@uni-bonn.de,2,https://www.uni-bonn.de/international-office
University of Duisburg-Essen,International Office,international@uni-due.de,11,https://www.uni-due.de/studium
Paderborn University,Sonstiges,webmaster@uni-paderborn.de,5,https://www.uni-paderborn.de/impressum
Paderborn University,Service,servicecenter@zv.uni-paderborn.de,4,https://www.uni-paderborn.de/kontakt
Heidelberg University,Studium/Allgemein,studium@uni-heidelberg.de,10,https://www.uni-heidelberg.de/international
University of Münster,International Office,international.office@uni-muenster.de,11,https://www.uni-muenster.de/international-office
University of Münster,Studentensekretariat,studierendensekretariat@uni-muenster.de,8,https://www.uni-muenster.de/studium/bewerbung
Constructor University Bremen,Allgemeiner Kontakt,info@constructor.university,2,https://www.constructor.university/impressum
University of Rostock,Studienberatung,studienberatung@uni-rostock.de,13,https://www.uni-rostock.de/studienberatung
Johannes Gutenberg University Mainz,Sonstiges,webmaster@uni-mainz.de,5,https://www.uni-mainz.de/impressum
Johannes Gutenberg University Mainz,Sonstiges,u003ewebmaster@uni-mainz.de,5,https://www.uni-mainz.de/impressum
Karlsruhe Institute of Technology (KIT),Allgemeiner Kontakt,info@kit.edu,2,https://www.kit.edu/impressum
Karlsruhe Institute of Technology (KIT),Allgemeiner Kontakt,informationssicherheitsbeauftragter@kit.edu,2,https://www.kit.edu/impressum
Ruhr University Bochum,International Office,international@rub.de,11,https://www.ruhr-uni-bochum.de/kontakt
