University,Category,Email,QS 2026 Rank
Technical University of Munich (TUM),studienberatung,studium@tum.de,22
Technical University of Munich (TUM),Bewerbung Bachelor,bewerbung-bachelor@tum.de,22
Technical University of Munich (TUM),Bewerbung Master,bewerbung-master@tum.de,22
Technical University of Munich (TUM),Promotion/PhD,promotion@tum.de,22
Technical University of Munich (TUM),International Office,international@tum.de,22
Technical University of Munich (TUM),Studentensekretariat,studierendensekretariat@tum.de,22
Technical University of Munich (TUM),Studienfinanzierung,studienfinanzierung@tum.de,22
Technical University of Munich (TUM),Wohnen/Accommodation,wohnen@tum.de,22
Technical University of Munich (TUM),Informatik/Fachbereich,studium@in.tum.de,22
Technical University of Munich (TUM),Ingenieurwissenschaften,ingenieurwesen@tum.de,22
Technical University of Munich (TUM),CAS/Immatrikulation,studium@tum.de,22
Ludwig Maximilian University of Munich (LMU),studienberatung,studium@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Bewerbung Bachelor,bewerbung-bachelor@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Bewerbung Master,bewerbung-master@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Promotion/PhD,promotion@lmu.de,58
Ludwig Maximilian University of Munich (LMU),International Office,international@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Studentensekretariat,studierendensekretariat@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Studienfinanzierung,studienfinanzierung@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Wohnen/Accommodation,wohnen@lmu.de,58
Ludwig Maximilian University of Munich (LMU),Informatik/Fachbereich,studium@informatik.uni-muenchen.de,58
Ludwig Maximilian University of Munich (LMU),Ingenieurwissenschaften,ingenieurwesen@lmu.de,58
Ludwig Maximilian University of Munich (LMU),CAS/Immatrikulation,studium@lmu.de,58
Heidelberg University,studienberatung,studium@uni-heidelberg.de,80
Heidelberg University,Bewerbung Bachelor,bewerbung-bachelor@uni-heidelberg.de,80
Heidelberg University,Bewerbung Master,bewerbung-master@uni-heidelberg.de,80
Heidelberg University,Promotion/PhD,promotion@uni-heidelberg.de,80
Heidelberg University,International Office,international@uni-heidelberg.de,80
Heidelberg University,Studentensekretariat,studierendensekretariat@uni-heidelberg.de,80
Heidelberg University,Studienfinanzierung,studienfinanzierung@uni-heidelberg.de,80
Heidelberg University,Wohnen/Accommodation,wohnen@uni-heidelberg.de,80
Heidelberg University,Informatik/Fachbereich,studium@informatik.uni-heidelberg.de,80
Heidelberg University,Ingenieurwissenschaften,ingenieurwesen@uni-heidelberg.de,80
Heidelberg University,CAS/Immatrikulation,studium@uni-heidelberg.de,80
Freie Universität Berlin,studienberatung,studium@fu-berlin.de,88
Freie Universität Berlin,Bewerbung Bachelor,bewerbung-bachelor@fu-berlin.de,88
Freie Universität Berlin,Bewerbung Master,bewerbung-master@fu-berlin.de,88
Freie Universität Berlin,Promotion/PhD,promotion@fu-berlin.de,88
Freie Universität Berlin,International Office,international@fu-berlin.de,88
Freie Universität Berlin,Studentensekretariat,studierendensekretariat@fu-berlin.de,88
Freie Universität Berlin,Studienfinanzierung,studienfinanzierung@fu-berlin.de,88
Freie Universität Berlin,Wohnen/Accommodation,wohnen@fu-berlin.de,88
Freie Universität Berlin,Informatik/Fachbereich,informatik@fu-berlin.de,88
Freie Universität Berlin,Ingenieurwissenschaften,ingenieurwesen@fu-berlin.de,88
Freie Universität Berlin,CAS/Immatrikulation,studium@fu-berlin.de,88
Karlsruhe Institute of Technology (KIT),studienberatung,studium@kit.edu,98
Karlsruhe Institute of Technology (KIT),Bewerbung Bachelor,bewerbung-bachelor@kit.edu,98
Karlsruhe Institute of Technology (KIT),Bewerbung Master,bewerbung-master@kit.edu,98
Karlsruhe Institute of Technology (KIT),Promotion/PhD,promotion@kit.edu,98
Karlsruhe Institute of Technology (KIT),International Office,international@kit.edu,98
Karlsruhe Institute of Technology (KIT),Studentensekretariat,studierendensekretariat@kit.edu,98
Karlsruhe Institute of Technology (KIT),Studienfinanzierung,studienfinanzierung@kit.edu,98
Karlsruhe Institute of Technology (KIT),Wohnen/Accommodation,wohnen@kit.edu,98
Karlsruhe Institute of Technology (KIT),Informatik/Fachbereich,studium@informatik.kit.edu,98
Karlsruhe Institute of Technology (KIT),Ingenieurwissenschaften,ingenieurwesen@kit.edu,98
Karlsruhe Institute of Technology (KIT),CAS/Immatrikulation,studium@kit.edu,98
RWTH Aachen University,studienberatung,studsek@zhv.rwth-aachen.de,105
RWTH Aachen University,Bewerbung Bachelor,zulassung@zhv.rwth-aachen.de,105
RWTH Aachen University,Bewerbung Master,bewerbung-master@rwth-aachen.de,105
RWTH Aachen University,Promotion/PhD,promotion@rwth-aachen.de,105
RWTH Aachen University,International Office,international@rwth-aachen.de,105
RWTH Aachen University,Studentensekretariat,studierendensekretariat@rwth-aachen.de,105
RWTH Aachen University,Studienfinanzierung,studienfinanzierung@rwth-aachen.de,105
RWTH Aachen University,Wohnen/Accommodation,wohnen@rwth-aachen.de,105
RWTH Aachen University,Informatik/Fachbereich,informatik@rwth-aachen.de,105
RWTH Aachen University,Ingenieurwissenschaften,ingenieurwesen@rwth-aachen.de,105
RWTH Aachen University,CAS/Immatrikulation,studium@rwth-aachen.de,105
Humboldt University of Berlin,studienberatung,studium@hu-berlin.de,130
Humboldt University of Berlin,Bewerbung Bachelor,bewerbung-bachelor@hu-berlin.de,130
Humboldt University of Berlin,Bewerbung Master,bewerbung-master@hu-berlin.de,130
Humboldt University of Berlin,Promotion/PhD,promotion@hu-berlin.de,130
Humboldt University of Berlin,International Office,international@hu-berlin.de,130
Humboldt University of Berlin,Studentensekretariat,studierendensekretariat@hu-berlin.de,130
Humboldt University of Berlin,Studienfinanzierung,studienfinanzierung@hu-berlin.de,130
Humboldt University of Berlin,Wohnen/Accommodation,wohnen@hu-berlin.de,130
Humboldt University of Berlin,Informatik/Fachbereich,informatik@hu-berlin.de,130
Humboldt University of Berlin,Ingenieurwissenschaften,ingenieurwesen@hu-berlin.de,130
Humboldt University of Berlin,CAS/Immatrikulation,studium@hu-berlin.de,130
Technical University of Berlin (TU Berlin),studienberatung,studium@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Bewerbung Bachelor,bewerbung-bachelor@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Bewerbung Master,bewerbung-master@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Promotion/PhD,promotion@tu-berlin.de,145
Technical University of Berlin (TU Berlin),International Office,international@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Studentensekretariat,studierendensekretariat@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Studienfinanzierung,studienfinanzierung@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Wohnen/Accommodation,wohnen@tu-berlin.de,145
Technical University of Berlin (TU Berlin),Informatik/Fachbereich,studium@informatik.tu-berlin.de,145
Technical University of Berlin (TU Berlin),Ingenieurwissenschaften,ingenieurwesen@tu-berlin.de,145
Technical University of Berlin (TU Berlin),CAS/Immatrikulation,studium@tu-berlin.de,145
University of Hamburg,studienberatung,studium@uni-hamburg.de,193
University of Hamburg,Bewerbung Bachelor,bewerbung-bachelor@uni-hamburg.de,193
University of Hamburg,Bewerbung Master,bewerbung-master@uni-hamburg.de,193
University of Hamburg,Promotion/PhD,promotion@uni-hamburg.de,193
