QS 2026 Rank,University,Admissions Email,Website,State,Relevant MSc Programs
22,Technical University of Munich (TUM),studium@tum.de,https://www.tum.de,Bavaria,"CS, AI, ML, Robotics, Data Science"
58,Ludwig Maximilian University of Munich (LMU),studium@lmu.de,https://www.lmu.de,Bavaria,"CS, AI, ML, Data Science, Media Informatics"
80,Heidelberg University,studium@uni-heidelberg.de,https://www.uni-heidelberg.de,Baden-Württemberg,"CS, AI, Data Science, Scientific Computing"
88,Freie Universität Berlin,studium@fu-berlin.de,https://www.fu-berlin.de,Berlin,"CS, AI, Data Science, Bioinformatics"
98,Karlsruhe Institute of Technology (KIT),studium@kit.edu,https://www.kit.edu,Baden-Württemberg,"CS, AI, ML, Data Science, Cyber Security"
105,RWTH Aachen University,studsek@zhv.rwth-aachen.de,https://www.rwth-aachen.de,North Rhine-Westphalia,"CS, AI, ML, Data Science, Software Engineering"
130,Humboldt University of Berlin,studium@hu-berlin.de,https://www.hu-berlin.de,Berlin,"CS, AI, Data Science"
145,Technical University of Berlin (TU Berlin),studium@tu-berlin.de,https://www.tu-berlin.de,Berlin,"CS, AI, ML, Data Science, Cyber Security"
193,University of Hamburg,studium@uni-hamburg.de,https://www.uni-hamburg.de,Hamburg,"CS, AI, Data Science, Language Technology"
201,University of Freiburg,study@uni-freiburg.de,https://www.uni-freiburg.de,Baden-Württemberg,"CS, AI, Data Science, Embedded Systems"
207,University of Bonn,study@uni-bonn.de,https://www.uni-bonn.de,North Rhine-Westphalia,"CS, AI, ML, Data Science, Cyber Security"
215,University of Tübingen,studium@uni-tuebingen.de,https://www.uni-tuebingen.de,Baden-Württemberg,"CS, AI, ML, Data Science, Cognitive Science"
218,Technical University of Dresden (TU Dresden),studium@tu-dresden.de,https://www.tu-dresden.de,Saxony,"CS, AI, ML, Data Science, Computational Engineering"
232,FAU Erlangen-Nuremberg,studierendenverwaltung@fau.de,https://www.fau.de,Bavaria,"CS, AI, Data Science, Medical Informatics"
243,University of Göttingen,studiendekanat@med.uni-goettingen.de,https://www.uni-goettingen.de,Lower Saxony,"CS, AI, Data Science, Applied Informatics"
253,Technical University of Darmstadt (TU Darmstadt),studium@tu-darmstadt.de,https://www.tu-darmstadt.de,Hesse,"CS, AI, ML, Data Science, Cyber Security"
272,University of Cologne,studium@uni-koeln.de,https://www.uni-koeln.de,North Rhine-Westphalia,"CS, AI, Data Science"
310,University of Stuttgart,studium@uni-stuttgart.de,https://www.uni-stuttgart.de,Baden-Württemberg,"CS, AI, ML, Data Science, Software Technology"
316,Goethe University Frankfurt,studium@uni-frankfurt.de,https://www.uni-frankfurt.de,Hesse,"CS, AI, Data Science, Bioinformatics"
350,University of Münster,studium@uni-muenster.de,https://www.uni-muenster.de,North Rhine-Westphalia,"CS, AI, Data Science, Geoinformatics"
395,Ruhr University Bochum,stud-sekretariat@ruhr-uni-bochum.de,https://www.ruhr-uni-bochum.de,North Rhine-Westphalia,"CS, AI, Cyber Security, Data Science"
416,University of Würzburg,studienberatung@uni-wuerzburg.de,https://www.uni-wuerzburg.de,Bavaria,"CS, AI, Data Science, Human-Computer Interaction"
416,University of Mannheim,studium@uni-mannheim.de,https://www.uni-mannheim.de,Baden-Württemberg,"CS, AI, Data Science, Business Informatics"
433,Leibniz University Hannover,studium@uni-hannover.de,https://www.uni-hannover.de,Lower Saxony,"CS, AI, Data Science, Computational Engineering"
440,University of Konstanz,studium@uni-konstanz.de,https://www.uni-konstanz.de,Baden-Württemberg,"CS, AI, Data Science"
448,University of Bayreuth,studium@uni-bayreuth.de,https://www.uni-bayreuth.de,Bavaria,"CS, AI, Data Science, Sports Informatics"
452,Johannes Gutenberg University Mainz,studium@uni-mainz.de,https://www.uni-mainz.de,Rhineland-Palatinate,"CS, AI, Data Science"
477,University of Potsdam,studium@uni-potsdam.de,https://www.uni-potsdam.de,Brandenburg,"CS, AI, Data Science, Computational Science"
487,TU Bergakademie Freiberg,zulassungsbuero@zuv.tu-freiberg.de,https://www.tu-freiberg.de,Saxony,"CS, AI, Data Science, Computational Materials"
496,Justus Liebig University Giessen,studium@uni-giessen.de,https://www.uni-giessen.de,Hesse,"CS, AI, Data Science"
530,University of Bremen,studium@uni-bremen.de,https://www.uni-bremen.de,Bremen,"CS, AI, Data Science, Digital Media"
535,Leipzig University,studium@uni-leipzig.de,https://www.uni-leipzig.de,Saxony,"CS, AI, Data Science, Computational Humanities"
546,Ulm University,studium@uni-ulm.de,https://www.uni-ulm.de,Baden-Württemberg,"CS, AI, ML, Data Science, Cognitive Systems"
575,Friedrich Schiller University Jena,studium@uni-jena.de,https://www.uni-jena.de,Thuringia,"CS, AI, Data Science, Bioinformatics"
618,Kiel University,studium@uni-kiel.de,https://www.uni-kiel.de,Schleswig-Holstein,"CS, AI, Data Science, Digital Humanities"
635,Saarland University,studium@uni-saarland.de,https://www.uni-saarland.de,Saarland,"CS, AI, ML, Data Science, Cyber Security, Visual Computing"
673,TU Dortmund University,studiengangswechsel@tu-dortmund.de,https://www.tu-dortmund.de,North Rhine-Westphalia,"CS, AI, Data Science, Software Engineering"
691,University of Regensburg,studium@uni-regensburg.de,https://www.uni-regensburg.de,Bavaria,"CS, AI, Data Science"
711,Technical University of Braunschweig,studium@tu-braunschweig.de,https://www.tu-braunschweig.de,Lower Saxony,"CS, AI, Data Science, Computational Engineering"
711,University of Hohenheim,studium@uni-hohenheim.de,https://www.uni-hohenheim.de,Baden-Württemberg,"CS, AI, Data Science (Agricultural focus)"
751,Martin Luther University Halle-Wittenberg,studium@uni-halle.de,https://www.uni-halle.de,Saxony-Anhalt,"CS, AI, Data Science"
771,University of Marburg,studium@uni-marburg.de,https://www.uni-marburg.de,Hesse,"CS, AI, Data Science, Bioinformatics"
801,University of Duisburg-Essen,studium@uni-due.de,https://www.uni-due.de,North Rhine-Westphalia,"CS, AI, Data Science, Cyber Security"
851,University of Rostock,studienberatung@uni-rostock.de,https://www.uni-rostock.de,Mecklenburg-Vorpommern,"CS, AI, Data Science"
851,Heinrich Heine University Düsseldorf,studium@hhu.de,https://www.hhu.de,North Rhine-Westphalia,"CS, AI, Data Science, Computational Linguistics"
1001,Bielefeld University,studium@uni-bielefeld.de,https://www.uni-bielefeld.de,North Rhine-Westphalia,"CS, AI, Data Science, Cognitive Robotics"
1201,University of Siegen,info.studienberatung@zsb.uni-siegen.de,https://www.uni-siegen.de,North Rhine-Westphalia,"CS, AI, Data Science, HCI"
1201,RPTU Kaiserslautern-Landau,studium@rptu.de,https://www.rptu.de,Rhineland-Palatinate,"CS, AI, Data Science, Software Engineering"
N/A,Ilmenau University of Technology,studienberatung@tu-ilmenau.de,https://www.tu-ilmenau.de,Thuringia,"CS, AI, Data Science, Media Technology"
N/A,University of Passau,studienberatung@uni-passau.de,https://www.uni-passau.de,Bavaria,"CS, AI, Data Science, Digital Business"
N/A,Paderborn University,studium@uni-paderborn.de,https://www.uni-paderborn.de,North Rhine-Westphalia,"CS, AI, Data Science, HCI"
N/A,Constructor University Bremen,study@constructor.university,https://www.constructor.university,Bremen,"CS, AI, Data Science, Robotics"
N/A,University of Greifswald,studium@uni-greifswald.de,https://www.uni-greifswald.de,Mecklenburg-Vorpommern,"CS, AI, Data Science, Digital Humanities"
N/A,Leuphana University Lüneburg,studium@leuphana.de,https://www.leuphana.de,Lower Saxony,"CS, AI, Data Science, Digital Media"
N/A,University of Wuppertal,studium@uni-wuppertal.de,https://www.uni-wuppertal.de,North Rhine-Westphalia,"CS, AI, Data Science, Cyber Security"
N/A,Hamburg University of Technology (TUHH),studium@tuhh.de,https://www.tuhh.de,Hamburg,"CS, AI, Data Science, Computational Engineering"
N/A,Otto von Guericke University Magdeburg,studium@ovgu.de,https://www.ovgu.de,Saxony-Anhalt,"CS, AI, Data Science, Digital Engineering"
N/A,University of Kassel,studium@uni-kassel.de,https://www.uni-kassel.de,Hesse,"CS, AI, Data Science, Smart Systems"
N/A,University of Oldenburg,studium@uni-oldenburg.de,https://www.uni-oldenburg.de,Lower Saxony,"CS, AI, Data Science, Hearing Technology"
N/A,University of Augsburg,studium@uni-augsburg.de,https://www.uni-augsburg.de,Bavaria,"CS, AI, Data Science, Information Systems"
N/A,University of Lübeck,studium@uni-luebeck.de,https://www.uni-luebeck.de,Schleswig-Holstein,"CS, AI, Data Science, Medical Informatics"
