University,Admissions Email,Website,State
Technical University of Munich (TUM),studium@tum.de,https://www.tum.de,Bavaria
Ludwig Maximilian University of Munich (LMU),studium@lmu.de,https://www.lmu.de,Bavaria
Heidelberg University,studium@uni-heidelberg.de,https://www.uni-heidelberg.de,Baden-Württemberg
Freie Universität Berlin,studium@fu-berlin.de,https://www.fu-berlin.de,Berlin
Karlsruhe Institute of Technology (KIT),studium@kit.edu,https://www.kit.edu,Baden-Württemberg
RWTH Aachen University,studsek@zhv.rwth-aachen.de,https://www.rwth-aachen.de,North Rhine-Westphalia
Humboldt University of Berlin,studium@hu-berlin.de,https://www.hu-berlin.de,Berlin
Technical University of Berlin (TU Berlin),studium@tu-berlin.de,https://www.tu-berlin.de,Berlin
University of Hamburg,studium@uni-hamburg.de,https://www.uni-hamburg.de,Hamburg
University of Freiburg,study@uni-freiburg.de,https://www.uni-freiburg.de,Baden-Württemberg
University of Bonn,study@uni-bonn.de,https://www.uni-bonn.de,North Rhine-Westphalia
University of Tübingen,studium@uni-tuebingen.de,https://www.uni-tuebingen.de,Baden-Württemberg
Technical University of Dresden (TU Dresden),studium@tu-dresden.de,https://www.tu-dresden.de,Saxony
FAU Erlangen-Nuremberg,studierendenverwaltung@fau.de,https://www.fau.de,Bavaria
University of Göttingen,studiendekanat@med.uni-goettingen.de,https://www.uni-goettingen.de,Lower Saxony
Technical University of Darmstadt (TU Darmstadt),studium@tu-darmstadt.de,https://www.tu-darmstadt.de,Hesse
University of Cologne,studium@uni-koeln.de,https://www.uni-koeln.de,North Rhine-Westphalia
University of Stuttgart,studium@uni-stuttgart.de,https://www.uni-stuttgart.de,Baden-Württemberg
Goethe University Frankfurt,studium@uni-frankfurt.de,https://www.uni-frankfurt.de,Hesse
University of Münster,studium@uni-muenster.de,https://www.uni-muenster.de,North Rhine-Westphalia
Ruhr University Bochum,stud-sekretariat@ruhr-uni-bochum.de,https://www.ruhr-uni-bochum.de,North Rhine-Westphalia
University of Würzburg,studienberatung@uni-wuerzburg.de,https://www.uni-wuerzburg.de,Bavaria
University of Mannheim,studium@uni-mannheim.de,https://www.uni-mannheim.de,Baden-Württemberg
Leibniz University Hannover,studium@uni-hannover.de,https://www.uni-hannover.de,Lower Saxony
University of Konstanz,studium@uni-konstanz.de,https://www.uni-konstanz.de,Baden-Württemberg
University of Bayreuth,studium@uni-bayreuth.de,https://www.uni-bayreuth.de,Bavaria
Johannes Gutenberg University Mainz,studium@uni-mainz.de,https://www.uni-mainz.de,Rhineland-Palatinate
University of Potsdam,studium@uni-potsdam.de,https://www.uni-potsdam.de,Brandenburg
TU Bergakademie Freiberg,zulassungsbuero@zuv.tu-freiberg.de,https://www.tu-freiberg.de,Saxony
Justus Liebig University Giessen,studium@uni-giessen.de,https://www.uni-giessen.de,Hesse
University of Bremen,studium@uni-bremen.de,https://www.uni-bremen.de,Bremen
Leipzig University,studium@uni-leipzig.de,https://www.uni-leipzig.de,Saxony
Ulm University,studium@uni-ulm.de,https://www.uni-ulm.de,Baden-Württemberg
Friedrich Schiller University Jena,studium@uni-jena.de,https://www.uni-jena.de,Thuringia
Kiel University,studium@uni-kiel.de,https://www.uni-kiel.de,Schleswig-Holstein
Saarland University,studium@uni-saarland.de,https://www.uni-saarland.de,Saarland
TU Dortmund University,studiengangswechsel@tu-dortmund.de,https://www.tu-dortmund.de,North Rhine-Westphalia
University of Regensburg,studium@uni-regensburg.de,https://www.uni-regensburg.de,Bavaria
Technical University of Braunschweig,studium@tu-braunschweig.de,https://www.tu-braunschweig.de,Lower Saxony
University of Hohenheim,studium@uni-hohenheim.de,https://www.uni-hohenheim.de,Baden-Württemberg
Martin Luther University Halle-Wittenberg,studium@uni-halle.de,https://www.uni-halle.de,Saxony-Anhalt
University of Marburg,studium@uni-marburg.de,https://www.uni-marburg.de,Hesse
University of Duisburg-Essen,studium@uni-due.de,https://www.uni-due.de,North Rhine-Westphalia
University of Rostock,studienberatung@uni-rostock.de,https://www.uni-rostock.de,Mecklenburg-Vorpommern
Heinrich Heine University Düsseldorf,studium@hhu.de,https://www.hhu.de,North Rhine-Westphalia
Bielefeld University,studium@uni-bielefeld.de,https://www.uni-bielefeld.de,North Rhine-Westphalia
University of Siegen,info.studienberatung@zsb.uni-siegen.de,https://www.uni-siegen.de,North Rhine-Westphalia
RPTU Kaiserslautern-Landau,studium@rptu.de,https://www.rptu.de,Rhineland-Palatinate
Ilmenau University of Technology,studienberatung@tu-ilmenau.de,https://www.tu-ilmenau.de,Thuringia
University of Passau,studienberatung@uni-passau.de,https://www.uni-passau.de,Bavaria
Paderborn University,studium@uni-paderborn.de,https://www.uni-paderborn.de,North Rhine-Westphalia
Constructor University Bremen,study@constructor.university,https://www.constructor.university,Bremen
University of Greifswald,studium@uni-greifswald.de,https://www.uni-greifswald.de,Mecklenburg-Vorpommern
Leuphana University Lüneburg,studium@leuphana.de,https://www.leuphana.de,Lower Saxony
University of Wuppertal,studium@uni-wuppertal.de,https://www.uni-wuppertal.de,North Rhine-Westphalia
Hamburg University of Technology (TUHH),studium@tuhh.de,https://www.tuhh.de,Hamburg
Otto von Guericke University Magdeburg,studium@ovgu.de,https://www.ovgu.de,Saxony-Anhalt
University of Kassel,studium@uni-kassel.de,https://www.uni-kassel.de,Hesse
University of Oldenburg,studium@uni-oldenburg.de,https://www.uni-oldenburg.de,Lower Saxony
University of Augsburg,studium@uni-augsburg.de,https://www.uni-augsburg.de,Bavaria
University of Lübeck,studium@uni-luebeck.de,https://www.uni-luebeck.de,Schleswig-Holstein
