University,Category,Email,Score,Source
Norwegian University of Life Sciences (NMBU),General / Post,post@nmbu.no,5,https://www.nmbu.no/kontakt
Norwegian University of Life Sciences (NMBU),General / Post,u003epost@nmbu.no,5,https://www.nmbu.no/kontakt
Inland Norway University of Applied Sciences,Admissions,opptak@inn.no,11,https://www.inn.no/studier
Molde University College,Master Admission,webmaster@himolde.no,6,https://www.himolde.no/om
Molde University College,General / Post,post@himolde.no,5,https://www.himolde.no/om
University of Stavanger (UiS),Admissions,opptak@uis.no,11,https://www.uis.no/studier
University of Stavanger (UiS),Study Guidance,studieveiledning@uis.no,11,https://www.uis.no/studieveiledning
University of Stavanger (UiS),General / Post,post@uis.no,5,https://www.uis.no/studieveiledning
Norwegian University of Science and Technology (NTNU),General / Post,postmottak@ntnu.no,5,https://www.ntnu.no/kontakt
University of Agder (UiA),General / Post,post@uia.no,5,https://www.uia.no/studier
University of Agder (UiA),General / Post,lu-post@uia.no,5,https://www.uia.no/studieveiledning
Norwegian School of Sport Sciences (NIH),Admissions,opptak@nih.no,11,https://www.nih.no/opptak
Norwegian School of Sport Sciences (NIH),General / Post,postmottak@nih.no,5,https://www.nih.no/om
Oslo School of Architecture and Design (AHO),Admissions,opptak@aho.no,11,https://www.aho.no/studier
Oslo School of Architecture and Design (AHO),Master Admission,webmaster@aho.no,6,https://www.aho.no/om
BI Norwegian Business School,General Info,info@bi.no,4,https://www.bi.no/kontakt
Volda University College,General / Post,postmottak@hivolda.no,5,https://www.hivolda.no/om
MF Norwegian School of Theology,General / Post,post@mf.no,5,https://www.mf.no/kontakt
Norwegian School of Economics (NHH),International Office,international@nhh.no,7,https://www.nhh.no/studieveiledning
Norwegian School of Economics (NHH),PhD,phd@nhh.no,6,https://www.nhh.no/phd
Western Norway University of Applied Sciences,Admissions,opptak@hvl.no,11,https://www.hvl.no/opptak
VID Specialized University,Admissions,opptak@vid.no,11,https://www.vid.no/opptak
UiT The Arctic University of Norway,PhD,phd@helsefak.uit.no,6,https://www.uit.no/phd
UiT The Arctic University of Norway,PhD,konfliktradphd@helsefak.uit.no,6,https://www.uit.no/phd
UiT The Arctic University of Norway,General / Post,postmottak@uit.no,5,https://www.uit.no/phd
UiT The Arctic University of Norway,General / Post,postmottak@hsl.uit.no,5,https://www.uit.no/phd
UiT The Arctic University of Norway,General / Post,%20postmottak@ivt.uit.no,5,https://www.uit.no/phd
UiT The Arctic University of Norway,General / Post,postmottak@ivt.uit.no,5,https://www.uit.no/phd
UiT The Arctic University of Norway,General / Post,postmottak@nt.uit.no,5,https://www.uit.no/phd
Norwegian Academy of Music (NMH),Admissions,opptak@nmh.no,11,https://www.nmh.no/opptak
Norwegian Academy of Music (NMH),Master Admission,webmaster@nmh.no,6,https://www.nmh.no/kontakt
Norwegian Academy of Music (NMH),General / Post,post@nmh.no,5,https://www.nmh.no/kontakt
