University,Category,Email,QS 2026 Rank
University of Oslo (UiO),General / Post,postmottak@uio.no,119
University of Oslo (UiO),Study / Admissions,studie@uio.no,119
University of Oslo (UiO),Bachelor Admission,opptak@uio.no,119
University of Oslo (UiO),Master Admission,master@uio.no,119
University of Oslo (UiO),PhD,phd@uio.no,119
University of Oslo (UiO),International Office,international@uio.no,119
University of Oslo (UiO),CS / Informatics,studieinfo@ifi.uio.no,119
University of Oslo (UiO),Housing,bolig@uio.no,119
University of Oslo (UiO),Student Services,studieadmin@uio.no,119
University of Oslo (UiO),Finance,okonomi@uio.no,119
Norwegian University of Science and Technology (NTNU),General / Post,postmottak@ntnu.no,267
Norwegian University of Science and Technology (NTNU),Study / Admissions,studie@ntnu.no,267
Norwegian University of Science and Technology (NTNU),Bachelor Admission,opptak@ntnu.no,267
Norwegian University of Science and Technology (NTNU),Master Admission,master@ntnu.no,267
Norwegian University of Science and Technology (NTNU),PhD,phd@ntnu.no,267
Norwegian University of Science and Technology (NTNU),International Office,international@ntnu.no,267
Norwegian University of Science and Technology (NTNU),CS / Informatics,studie@idi.ntnu.no,267
Norwegian University of Science and Technology (NTNU),Housing,bolig@ntnu.no,267
Norwegian University of Science and Technology (NTNU),Student Services,studieadmin@ntnu.no,267
Norwegian University of Science and Technology (NTNU),Finance,okonomi@ntnu.no,267
University of Bergen (UiB),General / Post,postmottak@uib.no,287
University of Bergen (UiB),Study / Admissions,studie@uib.no,287
University of Bergen (UiB),Bachelor Admission,opptak@uib.no,287
University of Bergen (UiB),Master Admission,master@uib.no,287
University of Bergen (UiB),PhD,phd@uib.no,287
University of Bergen (UiB),International Office,international@uib.no,287
University of Bergen (UiB),CS / Informatics,studie@ii.uib.no,287
University of Bergen (UiB),Housing,bolig@uib.no,287
University of Bergen (UiB),Student Services,studieadmin@uib.no,287
University of Bergen (UiB),Finance,okonomi@uib.no,287
UiT The Arctic University of Norway,General / Post,postmottak@nt.uit.no,648
UiT The Arctic University of Norway,Study / Admissions,studie@uit.no,648
UiT The Arctic University of Norway,Bachelor Admission,opptak@uit.no,648
UiT The Arctic University of Norway,Master Admission,master@uit.no,648
UiT The Arctic University of Norway,PhD,konfliktradphd@helsefak.uit.no,648
UiT The Arctic University of Norway,International Office,international@uit.no,648
UiT The Arctic University of Norway,CS / Informatics,studie@cs.uit.no,648
UiT The Arctic University of Norway,Housing,bolig@uit.no,648
UiT The Arctic University of Norway,Student Services,studieadmin@uit.no,648
UiT The Arctic University of Norway,Finance,okonomi@uit.no,648
Norwegian University of Life Sciences (NMBU),General / Post,post@nmbu.no,791
Norwegian University of Life Sciences (NMBU),Study / Admissions,studie@nmbu.no,791
Norwegian University of Life Sciences (NMBU),Bachelor Admission,opptak@nmbu.no,791
Norwegian University of Life Sciences (NMBU),Master Admission,master@nmbu.no,791
Norwegian University of Life Sciences (NMBU),PhD,phd@nmbu.no,791
Norwegian University of Life Sciences (NMBU),International Office,international@nmbu.no,791
Norwegian University of Life Sciences (NMBU),CS / Informatics,informatikk@nmbu.no,791
Norwegian University of Life Sciences (NMBU),Housing,bolig@nmbu.no,791
Norwegian University of Life Sciences (NMBU),Student Services,studieadmin@nmbu.no,791
Norwegian University of Life Sciences (NMBU),Finance,okonomi@nmbu.no,791
University of Stavanger (UiS),General / Post,post@uis.no,851
University of Stavanger (UiS),Study / Admissions,studieveiledning@uis.no,851
University of Stavanger (UiS),Bachelor Admission,opptak@uis.no,851
University of Stavanger (UiS),Master Admission,master@uis.no,851
University of Stavanger (UiS),PhD,phd@uis.no,851
University of Stavanger (UiS),International Office,international@uis.no,851
University of Stavanger (UiS),CS / Informatics,informatikk@uis.no,851
University of Stavanger (UiS),Housing,bolig@uis.no,851
University of Stavanger (UiS),Student Services,studieadmin@uis.no,851
University of Stavanger (UiS),Finance,okonomi@uis.no,851
University of Agder (UiA),General / Post,lu-post@uia.no,N/A
University of Agder (UiA),Study / Admissions,studie@uia.no,N/A
University of Agder (UiA),Bachelor Admission,opptak@uia.no,N/A
University of Agder (UiA),Master Admission,master@uia.no,N/A
University of Agder (UiA),PhD,phd@uia.no,N/A
University of Agder (UiA),International Office,international@uia.no,N/A
University of Agder (UiA),CS / Informatics,informatikk@uia.no,N/A
University of Agder (UiA),Housing,bolig@uia.no,N/A
University of Agder (UiA),Student Services,studieadmin@uia.no,N/A
University of Agder (UiA),Finance,okonomi@uia.no,N/A
Nord University,General / Post,postmottak@nord.no,N/A
Nord University,Study / Admissions,studie@nord.no,N/A
Nord University,Bachelor Admission,opptak@nord.no,N/A
Nord University,Master Admission,master@nord.no,N/A
Nord University,PhD,phd@nord.no,N/A
Nord University,International Office,international@nord.no,N/A
Nord University,CS / Informatics,informatikk@nord.no,N/A
Nord University,Housing,bolig@nord.no,N/A
Nord University,Student Services,studieadmin@nord.no,N/A
Nord University,Finance,okonomi@nord.no,N/A
Oslo Metropolitan University (OsloMet),General / Post,postmottak@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),Study / Admissions,studie@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),Bachelor Admission,opptak@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),Master Admission,master@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),PhD,phd@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),International Office,international@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),CS / Informatics,informatikk@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),Housing,bolig@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),Student Services,studieadmin@oslomet.no,N/A
Oslo Metropolitan University (OsloMet),Finance,okonomi@oslomet.no,N/A
BI Norwegian Business School,General / Post,info@bi.no,N/A
BI Norwegian Business School,Study / Admissions,admissions@bi.no,N/A
BI Norwegian Business School,Bachelor Admission,opptak@bi.no,N/A
BI Norwegian Business School,Master Admission,graduate@bi.no,N/A
BI Norwegian Business School,PhD,phd@bi.no,N/A
BI Norwegian Business School,International Office,exchange@bi.no,N/A
BI Norwegian Business School,CS / Informatics,informatikk@bi.no,N/A
BI Norwegian Business School,Housing,bolig@bi.no,N/A
BI Norwegian Business School,Student Services,studieadmin@bi.no,N/A
BI Norwegian Business School,Finance,okonomi@bi.no,N/A
Norwegian School of Economics (NHH),General / Post,postmottak@nhh.no,N/A
Norwegian School of Economics (NHH),Study / Admissions,studie@nhh.no,N/A
Norwegian School of Economics (NHH),Bachelor Admission,opptak@nhh.no,N/A
Norwegian School of Economics (NHH),Master Admission,master@nhh.no,N/A
Norwegian School of Economics (NHH),PhD,phd@nhh.no,N/A
Norwegian School of Economics (NHH),International Office,international@nhh.no,N/A
Norwegian School of Economics (NHH),CS / Informatics,informatikk@nhh.no,N/A
Norwegian School of Economics (NHH),Housing,bolig@nhh.no,N/A
Norwegian School of Economics (NHH),Student Services,studieadmin@nhh.no,N/A
Norwegian School of Economics (NHH),Finance,okonomi@nhh.no,N/A
Western Norway University of Applied Sciences,General / Post,postmottak@hvl.no,N/A
Western Norway University of Applied Sciences,Study / Admissions,opptak@hvl.no,N/A
Western Norway University of Applied Sciences,Bachelor Admission,opptak@hvl.no,N/A
Western Norway University of Applied Sciences,Master Admission,master@hvl.no,N/A
Western Norway University of Applied Sciences,PhD,phd@hvl.no,N/A
Western Norway University of Applied Sciences,International Office,international@hvl.no,N/A
Western Norway University of Applied Sciences,CS / Informatics,informatikk@hvl.no,N/A
Western Norway University of Applied Sciences,Housing,bolig@hvl.no,N/A
Western Norway University of Applied Sciences,Student Services,studieadmin@hvl.no,N/A
Western Norway University of Applied Sciences,Finance,okonomi@hvl.no,N/A
Inland Norway University of Applied Sciences,General / Post,postmottak@inn.no,N/A
Inland Norway University of Applied Sciences,Study / Admissions,opptak@inn.no,N/A
Inland Norway University of Applied Sciences,Bachelor Admission,opptak@inn.no,N/A
Inland Norway University of Applied Sciences,Master Admission,master@inn.no,N/A
Inland Norway University of Applied Sciences,PhD,phd@inn.no,N/A
Inland Norway University of Applied Sciences,International Office,international@inn.no,N/A
Inland Norway University of Applied Sciences,CS / Informatics,informatikk@inn.no,N/A
Inland Norway University of Applied Sciences,Housing,bolig@inn.no,N/A
Inland Norway University of Applied Sciences,Student Services,studieadmin@inn.no,N/A
Inland Norway University of Applied Sciences,Finance,okonomi@inn.no,N/A
Molde University College,General / Post,post@himolde.no,N/A
Molde University College,Study / Admissions,studie@himolde.no,N/A
Molde University College,Bachelor Admission,opptak@himolde.no,N/A
Molde University College,Master Admission,webmaster@himolde.no,N/A
Molde University College,PhD,phd@himolde.no,N/A
Molde University College,International Office,international@himolde.no,N/A
Molde University College,CS / Informatics,informatikk@himolde.no,N/A
Molde University College,Housing,bolig@himolde.no,N/A
Molde University College,Student Services,studieadmin@himolde.no,N/A
Molde University College,Finance,okonomi@himolde.no,N/A
Volda University College,General / Post,postmottak@hivolda.no,N/A
Volda University College,Study / Admissions,studie@hivolda.no,N/A
Volda University College,Bachelor Admission,opptak@hivolda.no,N/A
Volda University College,Master Admission,master@hivolda.no,N/A
Volda University College,PhD,phd@hivolda.no,N/A
Volda University College,International Office,international@hivolda.no,N/A
Volda University College,CS / Informatics,informatikk@hivolda.no,N/A
Volda University College,Housing,bolig@hivolda.no,N/A
Volda University College,Student Services,studieadmin@hivolda.no,N/A
Volda University College,Finance,okonomi@hivolda.no,N/A
Norwegian School of Sport Sciences (NIH),General / Post,postmottak@nih.no,N/A
Norwegian School of Sport Sciences (NIH),Study / Admissions,opptak@nih.no,N/A
Norwegian School of Sport Sciences (NIH),Bachelor Admission,opptak@nih.no,N/A
Norwegian School of Sport Sciences (NIH),Master Admission,master@nih.no,N/A
Norwegian School of Sport Sciences (NIH),PhD,phd@nih.no,N/A
Norwegian School of Sport Sciences (NIH),International Office,international@nih.no,N/A
Norwegian School of Sport Sciences (NIH),CS / Informatics,informatikk@nih.no,N/A
Norwegian School of Sport Sciences (NIH),Housing,bolig@nih.no,N/A
Norwegian School of Sport Sciences (NIH),Student Services,studieadmin@nih.no,N/A
Norwegian School of Sport Sciences (NIH),Finance,okonomi@nih.no,N/A
Oslo School of Architecture and Design (AHO),General / Post,postmottak@aho.no,N/A
Oslo School of Architecture and Design (AHO),Study / Admissions,opptak@aho.no,N/A
Oslo School of Architecture and Design (AHO),Bachelor Admission,opptak@aho.no,N/A
Oslo School of Architecture and Design (AHO),Master Admission,webmaster@aho.no,N/A
Oslo School of Architecture and Design (AHO),PhD,phd@aho.no,N/A
Oslo School of Architecture and Design (AHO),International Office,international@aho.no,N/A
Oslo School of Architecture and Design (AHO),CS / Informatics,informatikk@aho.no,N/A
Oslo School of Architecture and Design (AHO),Housing,bolig@aho.no,N/A
Oslo School of Architecture and Design (AHO),Student Services,studieadmin@aho.no,N/A
Oslo School of Architecture and Design (AHO),Finance,okonomi@aho.no,N/A
MF Norwegian School of Theology,General / Post,post@mf.no,N/A
MF Norwegian School of Theology,Study / Admissions,studie@mf.no,N/A
MF Norwegian School of Theology,Bachelor Admission,opptak@mf.no,N/A
MF Norwegian School of Theology,Master Admission,master@mf.no,N/A
MF Norwegian School of Theology,PhD,phd@mf.no,N/A
MF Norwegian School of Theology,International Office,international@mf.no,N/A
MF Norwegian School of Theology,CS / Informatics,informatikk@mf.no,N/A
MF Norwegian School of Theology,Housing,bolig@mf.no,N/A
MF Norwegian School of Theology,Student Services,studieadmin@mf.no,N/A
MF Norwegian School of Theology,Finance,okonomi@mf.no,N/A
VID Specialized University,General / Post,postmottak@vid.no,N/A
VID Specialized University,Study / Admissions,opptak@vid.no,N/A
VID Specialized University,Bachelor Admission,opptak@vid.no,N/A
VID Specialized University,Master Admission,master@vid.no,N/A
VID Specialized University,PhD,phd@vid.no,N/A
VID Specialized University,International Office,international@vid.no,N/A
VID Specialized University,CS / Informatics,informatikk@vid.no,N/A
VID Specialized University,Housing,bolig@vid.no,N/A
VID Specialized University,Student Services,studieadmin@vid.no,N/A
VID Specialized University,Finance,okonomi@vid.no,N/A
Norwegian Academy of Music (NMH),General / Post,post@nmh.no,N/A
Norwegian Academy of Music (NMH),Study / Admissions,opptak@nmh.no,N/A
Norwegian Academy of Music (NMH),Bachelor Admission,opptak@nmh.no,N/A
Norwegian Academy of Music (NMH),Master Admission,webmaster@nmh.no,N/A
Norwegian Academy of Music (NMH),PhD,phd@nmh.no,N/A
Norwegian Academy of Music (NMH),International Office,international@nmh.no,N/A
Norwegian Academy of Music (NMH),CS / Informatics,informatikk@nmh.no,N/A
Norwegian Academy of Music (NMH),Housing,bolig@nmh.no,N/A
Norwegian Academy of Music (NMH),Student Services,studieadmin@nmh.no,N/A
Norwegian Academy of Music (NMH),Finance,okonomi@nmh.no,N/A
