QS 2026 Rank,University,Admissions Email,Website,City,Relevant MSc Programs
119,University of Oslo (UiO),postmottak@uio.no,https://www.uio.no,Oslo,"CS, AI, ML, Data Science, Informatics, Robotics"
267,Norwegian University of Science and Technology (NTNU),postmottak@ntnu.no,https://www.ntnu.no,Trondheim,"CS, AI, ML, Data Science, Cyber Security, Software Engineering"
287,University of Bergen (UiB),postmottak@uib.no,https://www.uib.no,Bergen,"CS, AI, Data Science, Informatics, Bioinfo"
648,UiT The Arctic University of Norway,postmottak@nt.uit.no,https://www.uit.no,Tromsø,"CS, Data Science, Bioinformatics, Space Physics"
791,Norwegian University of Life Sciences (NMBU),post@nmbu.no,https://www.nmbu.no,Ås,"CS, Data Science, Bioinformatics, Geomatics"
851,University of Stavanger (UiS),post@uis.no,https://www.uis.no,Stavanger,"CS, Data Science, AI, Cyber Security"
N/A,University of Agder (UiA),lu-post@uia.no,https://www.uia.no,Kristiansand,"CS, AI, Data Science, ICT"
N/A,Nord University,postmottak@nord.no,https://www.nord.no,Bodø,"CS, Data Science, Cyber Security"
N/A,Oslo Metropolitan University (OsloMet),postmottak@oslomet.no,https://www.oslomet.no,Oslo,"CS, AI, Data Science, Applied CS, IT"
N/A,BI Norwegian Business School,admissions@bi.no,https://www.bi.no,Oslo,"No CS (Business, Economics, Finance)"
N/A,Norwegian School of Economics (NHH),postmottak@nhh.no,https://www.nhh.no,Bergen,"No CS (Economics, Business)"
N/A,Western Norway University of Applied Sciences,postmottak@hvl.no,https://www.hvl.no,Bergen,"CS, Data Science, Cyber Security"
N/A,Inland Norway University of Applied Sciences,postmottak@inn.no,https://www.inn.no,Lillehammer,"CS, Game Technology, Data Science"
N/A,Molde University College,post@himolde.no,https://www.himolde.no,Molde,"CS, Data Science, Logistics Informatics"
N/A,Volda University College,postmottak@hivolda.no,https://www.hivolda.no,Volda,"CS, Media Technology, Interaction Design"
N/A,Norwegian School of Sport Sciences (NIH),postmottak@nih.no,https://www.nih.no,Oslo,No CS (Sports Science)
N/A,Oslo School of Architecture and Design (AHO),postmottak@aho.no,https://www.aho.no,Oslo,"No CS (Architecture, Design)"
N/A,MF Norwegian School of Theology,post@mf.no,https://www.mf.no,Oslo,"No CS (Theology, Religion)"
N/A,VID Specialized University,postmottak@vid.no,https://www.vid.no,Oslo,"No CS (Health, Social Sciences)"
N/A,Norwegian Academy of Music (NMH),post@nmh.no,https://www.nmh.no,Oslo,No CS (Music)
