University,Admissions Email,Website,City
University of Oslo (UiO),postmottak@uio.no,https://www.uio.no,Oslo
Norwegian University of Science and Technology (NTNU),postmottak@ntnu.no,https://www.ntnu.no,Trondheim
University of Bergen (UiB),postmottak@uib.no,https://www.uib.no,Bergen
UiT The Arctic University of Norway,postmottak@nt.uit.no,https://www.uit.no,Tromsø
Norwegian University of Life Sciences (NMBU),post@nmbu.no,https://www.nmbu.no,Ås
University of Stavanger (UiS),post@uis.no,https://www.uis.no,Stavanger
University of Agder (UiA),lu-post@uia.no,https://www.uia.no,Kristiansand
Nord University,postmottak@nord.no,https://www.nord.no,Bodø
Oslo Metropolitan University (OsloMet),postmottak@oslomet.no,https://www.oslomet.no,Oslo
BI Norwegian Business School,admissions@bi.no,https://www.bi.no,Oslo
Norwegian School of Economics (NHH),postmottak@nhh.no,https://www.nhh.no,Bergen
Western Norway University of Applied Sciences,postmottak@hvl.no,https://www.hvl.no,Bergen
Inland Norway University of Applied Sciences,postmottak@inn.no,https://www.inn.no,Lillehammer
Molde University College,post@himolde.no,https://www.himolde.no,Molde
Volda University College,postmottak@hivolda.no,https://www.hivolda.no,Volda
Norwegian School of Sport Sciences (NIH),postmottak@nih.no,https://www.nih.no,Oslo
Oslo School of Architecture and Design (AHO),postmottak@aho.no,https://www.aho.no,Oslo
MF Norwegian School of Theology,post@mf.no,https://www.mf.no,Oslo
VID Specialized University,postmottak@vid.no,https://www.vid.no,Oslo
Norwegian Academy of Music (NMH),post@nmh.no,https://www.nmh.no,Oslo
