"University","Category","Email","QS 2026 Rank"
"Imperial College London","General Admissions","admissions@imperial.ac.uk","2"
"Imperial College London","UG Admissions","ugadmissions@imperial.ac.uk","2"
"Imperial College London","PGT Admissions","pgtadmissions@imperial.ac.uk","2"
"Imperial College London","PGR Admissions","phd@imperial.ac.uk","2"
"Imperial College London","CS/Computing Dept","doc-enquiries@imperial.ac.uk","2"
"Imperial College London","Engineering Admissions","eng-admissions@imperial.ac.uk","2"
"Imperial College London","International Admissions","international@imperial.ac.uk","2"
"Imperial College London","CAS Queries","cas@imperial.ac.uk","2"
"Imperial College London","Student Finance","student.finance@imperial.ac.uk","2"
"University of Oxford","General Admissions","admissions@ox.ac.uk","4"
"University of Oxford","UG Admissions","undergraduate.admissions@ox.ac.uk","4"
"University of Oxford","PGT Admissions","graduate.admissions@ox.ac.uk","4"
"University of Oxford","PGR Admissions","graduate.admissions@ox.ac.uk","4"
"University of Oxford","CS Department","enquiries@cs.ox.ac.uk","4"
"University of Oxford","Engineering","undergraduate@eng.ox.ac.uk","4"
"University of Oxford","International Admissions","international.office@admin.ox.ac.uk","4"
"University of Oxford","Student Fees","fees@admin.ox.ac.uk","4"
"University of Oxford","Accommodation","accommodation@admin.ox.ac.uk","4"
"University of Cambridge","General Admissions","admissions@cam.ac.uk","6"
"University of Cambridge","UG Admissions","ug-admissions@cam.ac.uk","6"
"University of Cambridge","PGT Admissions","graduate.admissions@cam.ac.uk","6"
"University of Cambridge","PGR Admissions","graduate.study@cam.ac.uk","6"
"University of Cambridge","CS Department","enquiries@cst.cam.ac.uk","6"
"University of Cambridge","Engineering","eng-admissions@eng.cam.ac.uk","6"
"University of Cambridge","International Admissions","international@admin.cam.ac.uk","6"
"University of Cambridge","Student Finance","fees@cam.ac.uk","6"
"University of Cambridge","Accommodation","accommodation@admin.cam.ac.uk","6"
"UCL (Univ College London)","General Admissions","admissions@ucl.ac.uk","9"
"UCL (Univ College London)","UG Admissions","ug-admissions@ucl.ac.uk","9"
"UCL (Univ College London)","PGT Admissions","pgt-admissions@ucl.ac.uk","9"
"UCL (Univ College London)","PGR Admissions","pgr-admissions@ucl.ac.uk","9"
"UCL (Univ College London)","CS Department","cs.undergraduate@ucl.ac.uk","9"
"UCL (Univ College London)","Engineering","eng-admissions@ucl.ac.uk","9"
"UCL (Univ College London)","International Admissions","international@ucl.ac.uk","9"
"UCL (Univ College London)","Student Fees","fees@ucl.ac.uk","9"
"UCL (Univ College London)","ML/Info Security MSc","pgt-admissions@ucl.ac.uk","9"
"Kings College London","General Admissions","admissions@kcl.ac.uk","31"
"Kings College London","UG Admissions","ug-admissions@kcl.ac.uk","31"
"Kings College London","PGT Admissions","pg-admissions@kcl.ac.uk","31"
"Kings College London","PGR Admissions","phd-admissions@kcl.ac.uk","31"
"Kings College London","Informatics (CS)","csadmissions@kcl.ac.uk","31"
"Kings College London","Engineering","engineering@kcl.ac.uk","31"
"Kings College London","International Admissions","international@kcl.ac.uk","31"
"Kings College London","CAS Queries","cas@kcl.ac.uk","31"
"Kings College London","AI/Cyber Security MSc","pg-admissions@kcl.ac.uk","31"
"University of Edinburgh","General Admissions","admissions@ed.ac.uk","34"
"University of Edinburgh","UG Admissions","ug.admissions@ed.ac.uk","34"
"University of Edinburgh","PGT Admissions","pg.admissions@ed.ac.uk","34"
"University of Edinburgh","PGR Admissions","phd.admissions@ed.ac.uk","34"
"University of Edinburgh","Informatics (CS)","informatics@ed.ac.uk","34"
"University of Edinburgh","Engineering","eng-admissions@ed.ac.uk","34"
"University of Edinburgh","International Admissions","international@ed.ac.uk","34"
"University of Edinburgh","Student Finance","fees@ed.ac.uk","34"
"University of Edinburgh","AI/Cyber Privacy MSc","pg.admissions@ed.ac.uk","34"
"University of Manchester","General Admissions","admissions@manchester.ac.uk","35"
"University of Manchester","UG Admissions","ug.admissions@manchester.ac.uk","35"
"University of Manchester","PGT Admissions","pgt.admissions@manchester.ac.uk","35"
"University of Manchester","PGR Admissions","phd.admissions@manchester.ac.uk","35"
"University of Manchester","CS Department","cs-admissions@manchester.ac.uk","35"
"University of Manchester","Engineering","eng-admissions@manchester.ac.uk","35"
"University of Manchester","International Admissions","international@manchester.ac.uk","35"
"University of Manchester","CAS Team","cas@manchester.ac.uk","35"
"University of Manchester","Student Fees","fees@manchester.ac.uk","35"
"University of Manchester","Accommodation","accommodation@manchester.ac.uk","35"
"University of Bristol","General Admissions","admissions@bristol.ac.uk","51"
"University of Bristol","UG Admissions","ug-admissions@bristol.ac.uk","51"
"University of Bristol","PGT Admissions","pgt-admissions@bristol.ac.uk","51"
"University of Bristol","PGR Admissions","pgr-admissions@bristol.ac.uk","51"
"University of Bristol","CS Department","cs-admissions@bristol.ac.uk","51"
"University of Bristol","Engineering","eng-admissions@bristol.ac.uk","51"
"University of Bristol","International Admissions","international-admissions@bristol.ac.uk","51"
"University of Bristol","Student Finance","fees@bristol.ac.uk","51"
"University of Bristol","AI/Cyber Security MSc","pgt-admissions@bristol.ac.uk","51"
"LSE","General Admissions","admissions@lse.ac.uk","56"
"LSE","UG Admissions","ug.admissions@lse.ac.uk","56"
"LSE","PGT Admissions","pgt.admissions@lse.ac.uk","56"
"LSE","PGR Admissions","phd.admissions@lse.ac.uk","56"
"LSE","Data Science Dept","datascience@lse.ac.uk","56"
"LSE","International Admissions","international@lse.ac.uk","56"
"LSE","Student Finance","fees@lse.ac.uk","56"
"LSE","CAS Queries","cas@lse.ac.uk","56"
"LSE","Accommodation","accommodation@lse.ac.uk","56"
"University of Warwick","General Admissions","admissions@warwick.ac.uk","74"
"University of Warwick","UG Admissions","ug.admissions@warwick.ac.uk","74"
"University of Warwick","PGT Admissions","pg.admissions@warwick.ac.uk","74"
"University of Warwick","PGR Admissions","phd.admissions@warwick.ac.uk","74"
"University of Warwick","CS/WMG","cs.admissions@warwick.ac.uk","74"
"University of Warwick","Engineering","eng.admissions@warwick.ac.uk","74"
"University of Warwick","International Admissions","international@warwick.ac.uk","74"
"University of Warwick","Student Finance","fees@warwick.ac.uk","74"
"University of Warwick","AI/Cyber Security MSc","pg.admissions@warwick.ac.uk","74"
"Univ of Birmingham","General Admissions","admissions@bham.ac.uk","76"
"Univ of Birmingham","UG Admissions","ug-admissions@bham.ac.uk","76"
"Univ of Birmingham","PGT Admissions","pgt-admissions@bham.ac.uk","76"
"Univ of Birmingham","PGR Admissions","pgr-admissions@bham.ac.uk","76"
"Univ of Birmingham","CS Department","cs-admissions@bham.ac.uk","76"
"Univ of Birmingham","Engineering","eng-admissions@bham.ac.uk","76"
"Univ of Birmingham","International Admissions","international@bham.ac.uk","76"
"Univ of Birmingham","Student Fees","fees@bham.ac.uk","76"
"Univ of Birmingham","AI/ML/Cyber MSc","pgt-admissions@bham.ac.uk","76"
"Univ of Glasgow","General Admissions","admissions@glasgow.ac.uk","79"
"Univ of Glasgow","UG Admissions","ug-admissions@glasgow.ac.uk","79"
"Univ of Glasgow","PGT Admissions","pgadmissions@glasgow.ac.uk","79"
"Univ of Glasgow","PGR Admissions","pgradmissions@glasgow.ac.uk","79"
"Univ of Glasgow","CS Department","cs-admissions@glasgow.ac.uk","79"
"Univ of Glasgow","Engineering","eng-admissions@glasgow.ac.uk","79"
"Univ of Glasgow","International Admissions","international@glasgow.ac.uk","79"
"Univ of Glasgow","CAS Team","cas@glasgow.ac.uk","79"
"Univ of Glasgow","Student Finance","studentfees@glasgow.ac.uk","79"
"Univ of Glasgow","Accommodation","accommodation@glasgow.ac.uk","79"
"University of Leeds","General Admissions","admissions@leeds.ac.uk","86"
"University of Leeds","UG Admissions","ug.admissions@leeds.ac.uk","86"
"University of Leeds","PGT Admissions","pg.admissions@leeds.ac.uk","86"
"University of Leeds","PGR Admissions","phd.admissions@leeds.ac.uk","86"
"University of Leeds","CS/Computing","computing@leeds.ac.uk","86"
"University of Leeds","Engineering","eng-admissions@leeds.ac.uk","86"
"University of Leeds","International Admissions","international@leeds.ac.uk","86"
"University of Leeds","Student Finance","fees@leeds.ac.uk","86"
"University of Leeds","AI/Cyber Security MSc","pg.admissions@leeds.ac.uk","86"
"Univ of Southampton","General Admissions","admissions@southampton.ac.uk","87"
"Univ of Southampton","UG Admissions","ug.admissions@southampton.ac.uk","87"
"Univ of Southampton","PGT Admissions","pgt.admissions@southampton.ac.uk","87"
"Univ of Southampton","PGR Admissions","pgr.apply@southampton.ac.uk","87"
"Univ of Southampton","ECS (CS/Eng)","ecs.admissions@southampton.ac.uk","87"
"Univ of Southampton","International Admissions","international@southampton.ac.uk","87"
"Univ of Southampton","CAS Queries","cas@southampton.ac.uk","87"
"Univ of Southampton","AI/Cyber Security MSc","pgt.admissions.ecs@southampton.ac.uk","87"
"Univ of Southampton","Student Finance","studentfees@southampton.ac.uk","87"
"Univ of Sheffield","General Admissions","admissions@sheffield.ac.uk","92"
"Univ of Sheffield","UG Admissions","ug.admissions@sheffield.ac.uk","92"
"Univ of Sheffield","PGT Admissions","pgt.admissions@sheffield.ac.uk","92"
"Univ of Sheffield","PGR Admissions","pgr.admissions@sheffield.ac.uk","92"
"Univ of Sheffield","CS Department","cs-admissions@sheffield.ac.uk","92"
"Univ of Sheffield","Engineering","eng-admissions@sheffield.ac.uk","92"
"Univ of Sheffield","International Admissions","international@sheffield.ac.uk","92"
"Univ of Sheffield","Student Finance","fees@sheffield.ac.uk","92"
"Univ of Sheffield","AI/Cyber Security MSc","pgt.admissions@sheffield.ac.uk","92"
