"QS 2026 Rank","University","Admissions Email","Website","Region","Relevant MSc Programs"
"2","Imperial College London","admissions@imperial.ac.uk","https://www.imperial.ac.uk","England","CS, AI, ML, Cyber Security"
"4","University of Oxford","admissions@ox.ac.uk","https://www.ox.ac.uk","England","CS, AI, ML"
"6","University of Cambridge","admissions@cam.ac.uk","https://www.cam.ac.uk","England","CS, AI, ML"
"9","UCL (University College London)","admissions@ucl.ac.uk","https://www.ucl.ac.uk","England","CS, AI, ML, Info Security, Robotics"
"31","King's College London","admissions@kcl.ac.uk","https://www.kcl.ac.uk","England","CS, AI, Cyber Security"
"34","University of Edinburgh","admissions@ed.ac.uk","https://www.ed.ac.uk","Scotland","CS, AI, ML, Cyber Security, Data Science"
"35","University of Manchester","admissions@manchester.ac.uk","https://www.manchester.ac.uk","England","CS, AI, Cyber Security, Software Engineering"
"51","University of Bristol","admissions@bristol.ac.uk","https://www.bristol.ac.uk","England","CS, AI, Cyber Security, ML"
"74","University of Warwick","admissions@warwick.ac.uk","https://www.warwick.ac.uk","England","CS, AI, Cyber Security, Data Science"
"76","University of Birmingham","admissions@bham.ac.uk","https://www.birmingham.ac.uk","England","CS, AI, ML, Cyber Security"
"79","University of Glasgow","admissions@glasgow.ac.uk","https://www.gla.ac.uk","Scotland","CS, AI, Cyber Security, Data Science"
"86","University of Leeds","admissions@leeds.ac.uk","https://www.leeds.ac.uk","England","CS, AI, ML, Cyber Security, Data Science"
"87","University of Southampton","admissions@southampton.ac.uk","https://www.southampton.ac.uk","England","CS, AI, ML, Cyber Security, Data Science"
"92","University of Sheffield","admissions@sheffield.ac.uk","https://www.sheffield.ac.uk","England","CS, AI, Cyber Security, Data Science"
"94","Durham University","admissions@durham.ac.uk","https://www.durham.ac.uk","England","CS, AI, Data Science"
"97","University of Nottingham","admissions@nottingham.ac.uk","https://www.nottingham.ac.uk","England","CS, AI, Cyber Security, Data Science"
"113","University of St Andrews","admissions@st-andrews.ac.uk","https://www.st-andrews.ac.uk","Scotland","CS, AI, ML, Data Science"
"137","Newcastle University","admissions@ncl.ac.uk","https://www.ncl.ac.uk","England","CS, AI, ML, Cyber Security"
"157","Lancaster University","admissions@lancaster.ac.uk","https://www.lancaster.ac.uk","England","CS, AI, Cyber Security, Data Science"
"169","University of York","admissions@york.ac.uk","https://www.york.ac.uk","England","CS, AI, Cyber Security, Data Science"
"181","Cardiff University","admissions@cardiff.ac.uk","https://www.cardiff.ac.uk","Wales","CS, AI, Cyber Security"
"225","Loughborough University","admissions@lboro.ac.uk","https://www.lboro.ac.uk","England","CS, AI, Data Analytics"
"278","University of Sussex","admissions@sussex.ac.uk","https://www.sussex.ac.uk","England","CS, AI, ML, Cyber Security"
"287","Heriot-Watt University","admissions@hw.ac.uk","https://www.hw.ac.uk","Scotland","CS, AI, ML, Cyber Security"
"292","Swansea University","admissions@swansea.ac.uk","https://www.swansea.ac.uk","Wales","CS, AI, ML, Data Science"
"310","City St George's, University of London","admissions@citystgeorges.ac.uk","https://www.citystgeorges.ac.uk","England","CS, AI, ML, Cyber Security"
"326","University of Leicester","admissions@leicester.ac.uk","https://www.le.ac.uk","England","CS, AI, Data Science"
"374","Oxford Brookes University","admissions@brookes.ac.uk","https://www.brookes.ac.uk","England","CS, AI, Cyber Security"
"385","Brunel University London","admissions@brunel.ac.uk","https://www.brunel.ac.uk","England","CS, AI, ML, Cyber Security"
"388","Birkbeck, University of London","admissions@bbk.ac.uk","https://www.bbk.ac.uk","England","CS, AI, ML, Data Science"
"395","Aston University","admissions@aston.ac.uk","https://www.aston.ac.uk","England","CS, AI, Data Science"
"408","University of Bath","admissions@bath.ac.uk","https://www.bath.ac.uk","England","CS, AI, ML, Data Science"
"441","University of Liverpool","admissions@liverpool.ac.uk","https://www.liverpool.ac.uk","England","CS, AI, ML, Cyber Security"
"461","University of Surrey","admissions@surrey.ac.uk","https://www.surrey.ac.uk","England","CS, AI, ML, Computer Vision"
"474","University of East Anglia","admissions@uea.ac.uk","https://www.uea.ac.uk","England","CS, AI, Cyber Security, Data Science"
"508","University of Aberdeen","admissions@abdn.ac.uk","https://www.abdn.ac.uk","Scotland","CS, AI, ML, Cyber Security"
"511","University of Strathclyde","admissions@strath.ac.uk","https://www.strath.ac.uk","Scotland","CS, AI, ML, Cyber Security"
"524","University of Huddersfield","admissions@hud.ac.uk","https://www.hud.ac.uk","England","CS, AI, Cyber Security"
"541","University of Dundee","admissions@dundee.ac.uk","https://www.dundee.ac.uk","Scotland","CS, AI"
"550","Northumbria University","admissions@northumbria.ac.uk","https://www.northumbria.ac.uk","England","CS, AI, Cyber Security"
"558","Coventry University","admissions.coventry@coventry.ac.uk","https://www.coventry.ac.uk","England","CS, AI, Cyber Security, Data Science"
"566","Bangor University","admissions@bangor.ac.uk","https://www.bangor.ac.uk","Wales","CS, AI, Data Science"
"601-650","University of Portsmouth","admissions@port.ac.uk","https://www.port.ac.uk","England","CS, AI, ML, Cyber Security"
"601-650","University of Hull","admissions@hull.ac.uk","https://www.hull.ac.uk","England","CS, AI, Data Science"
"601-650","University of Essex","admissions@essex.ac.uk","https://www.essex.ac.uk","England","CS, AI, Cyber Security"
"601-650","University of Kent","admissions@kent.ac.uk","https://www.kent.ac.uk","England","CS, AI, Cyber Security"
"660","Kingston University","admissions@kingston.ac.uk","https://www.kingston.ac.uk","England","CS, AI, Cyber Security"
"661-670","Bournemouth University","admissions@bournemouth.ac.uk","https://www.bournemouth.ac.uk","England","CS, AI, Data Science"
