"University","Admissions Email","Website","Region"
"Aberystwyth University","admissions@aber.ac.uk","https://www.aber.ac.uk","Wales"
"Anglia Ruskin University","admissions@aru.ac.uk","https://www.aru.ac.uk","England"
"Arden University","admissions@arden.ac.uk","https://www.arden.ac.uk","England"
"Arts University Bournemouth","admissions@aub.ac.uk","https://www.aub.ac.uk","England"
"Aston University","admissions@aston.ac.uk","https://www.aston.ac.uk","England"
"Bangor University","admissions@bangor.ac.uk","https://www.bangor.ac.uk","Wales"
"University of Bath","admissions@bath.ac.uk","https://www.bath.ac.uk","England"
"Bath Spa University","admissions@bathspa.ac.uk","https://www.bathspa.ac.uk","England"
"University of Bedfordshire","admissions@beds.ac.uk","https://www.beds.ac.uk","England"
"Birkbeck, University of London","admissions@bbk.ac.uk","https://www.bbk.ac.uk","England"
"University of Birmingham","admissions@bham.ac.uk","https://www.birmingham.ac.uk","England"
"Birmingham City University","admissions@bcu.ac.uk","https://www.bcu.ac.uk","England"
"Birmingham Newman University","admissions@newman.ac.uk","https://www.newman.ac.uk","England"
"University of Bolton","admissions@bolton.ac.uk","https://www.bolton.ac.uk","England"
"Bournemouth University","admissions@bournemouth.ac.uk","https://www.bournemouth.ac.uk","England"
"BPP University","admissions@bpp.com","https://www.bpp.com","England"
"University of Bradford","admissions@bradford.ac.uk","https://www.bradford.ac.uk","England"
"University of Brighton","admissions@brighton.ac.uk","https://www.brighton.ac.uk","England"
"University of Bristol","admissions@bristol.ac.uk","https://www.bristol.ac.uk","England"
"Brunel University London","admissions@brunel.ac.uk","https://www.brunel.ac.uk","England"
"University of Buckingham","admissions@buckingham.ac.uk","https://www.buckingham.ac.uk","England"
"Buckinghamshire New University","admissions@bucks.ac.uk","https://www.bucks.ac.uk","England"
"University of Cambridge","admissions@cam.ac.uk","https://www.cam.ac.uk","England"
"Canterbury Christ Church University","admissions@canterbury.ac.uk","https://www.canterbury.ac.uk","England"
"Cardiff Metropolitan University","admissions@cardiffmet.ac.uk","https://www.cardiffmet.ac.uk","Wales"
"Cardiff University","admissions@cardiff.ac.uk","https://www.cardiff.ac.uk","Wales"
"University of Central Lancashire","admissions@uclan.ac.uk","https://www.uclan.ac.uk","England"
"University of Chester","admissions@chester.ac.uk","https://www.chester.ac.uk","England"
"University of Chichester","admissions@chi.ac.uk","https://www.chi.ac.uk","England"
"Coventry University","admissions.coventry@coventry.ac.uk","https://www.coventry.ac.uk","England"
"Cranfield University","admissions@cranfield.ac.uk","https://www.cranfield.ac.uk","England"
"University for the Creative Arts","admissions@uca.ac.uk","https://www.uca.ac.uk","England"
"University of Cumbria","admissions@cumbria.ac.uk","https://www.cumbria.ac.uk","England"
"De Montfort University","admissions@dmu.ac.uk","https://www.dmu.ac.uk","England"
"University of Derby","askadmissions@derby.ac.uk","https://www.derby.ac.uk","England"
"University of Dundee","admissions@dundee.ac.uk","https://www.dundee.ac.uk","Scotland"
"Durham University","admissions@durham.ac.uk","https://www.durham.ac.uk","England"
"University of East Anglia","admissions@uea.ac.uk","https://www.uea.ac.uk","England"
"University of East London","admissions@uel.ac.uk","https://www.uel.ac.uk","England"
"Edge Hill University","admissions@edgehill.ac.uk","https://www.edgehill.ac.uk","England"
"Edinburgh Napier University","admissions@napier.ac.uk","https://www.napier.ac.uk","Scotland"
"University of Edinburgh","admissions@ed.ac.uk","https://www.ed.ac.uk","Scotland"
"University of Essex","admissions@essex.ac.uk","https://www.essex.ac.uk","England"
"University of Exeter","admissions@exeter.ac.uk","https://www.exeter.ac.uk","England"
"Falmouth University","admissions@falmouth.ac.uk","https://www.falmouth.ac.uk","England"
"Glasgow Caledonian University","admissions@gcu.ac.uk","https://www.gcu.ac.uk","Scotland"
"University of Glasgow","admissions@glasgow.ac.uk","https://www.gla.ac.uk","Scotland"
"University of Gloucestershire","admissions@glos.ac.uk","https://www.glos.ac.uk","England"
"University of Greenwich","admissions@gre.ac.uk","https://www.gre.ac.uk","England"
"Harper Adams University","admissions@harper-adams.ac.uk","https://www.harper-adams.ac.uk","England"
"Hartpury University","admissions@hartpury.ac.uk","https://www.hartpury.ac.uk","England"
"Heriot-Watt University","admissions@hw.ac.uk","https://www.hw.ac.uk","Scotland"
"University of Hertfordshire","admissions@herts.ac.uk","https://www.herts.ac.uk","England"
"University of the Highlands and Islands","admissions@uhi.ac.uk","https://www.uhi.ac.uk","Scotland"
